id_pedido,fecha,producto,sucursal,cantidad,precio_unitario,email_cliente
1000,2025-02-02,Preferido Pan Rallado,Norte,39.0,1560,cliente_0@gmail.com
1001,2025-08-24,Matarazzo Spaghetti,Norte,36.0,1681,cliente_1@gmail.com
1002,2025-04-27,Granja del Sol Milanesas,Norte,20.0,575,Sin correo
1003,2025-05-16,Gallo Oro,Sur,16.0,1582,cliente_3@gmail.com
1004,2025-05-14,Lucchetti Municiones,Norte,34.0,1296,Sin correo
1005,2025-09-26,Lucchetti Municiones,Sur,43.0,2112,cliente_5@gmail.com
1006,2025-06-06,Matarazzo Spaghetti,Sur,31.0,1292,cliente_6@gmail.com
1007,2025-05-06,Granja del Sol Milanesas,CABA,40.0,3408,Sin correo
1008,2025-07-13,Gallo Oro,Oeste,50.0,1396,cliente_8@gmail.com
1009,2025-07-31,Gallo Oro,Norte,21.0,1831,cliente_9@gmail.com
1010,2025-02-21,Gallo Oro,CABA,17.0,1214,Sin correo
1011,2025-05-06,Gallo Oro,Oeste,45.0,3024,cliente_11@gmail.com
1012,2025-03-29,Preferido Pan Rallado,Sur,34.0,1360,cliente_12@gmail.com
1013,2025-07-14,Gallo Oro,Oeste,10.0,1653,cliente_13@gmail.com
1014,2025-11-07,Granja del Sol Milanesas,CABA,7.0,2808,cliente_14@gmail.com
1015,2025-12-01,Lucchetti Municiones,CABA,32.0,1147,cliente_15@gmail.com
1016,2025-02-07,Matarazzo Spaghetti,Sur,21.0,3383,Sin correo
1017,2025-01-19,Granja del Sol Milanesas,Sur,19.0,2395,cliente_17@gmail.com
1018,2025-12-30,Preferido Pan Rallado,Oeste,45.0,3687,cliente_18@gmail.com
1019,2025-01-24,Preferido Pan Rallado,CABA,48.0,808,Sin correo
1020,2025-08-20,Matarazzo Spaghetti,CABA,43.0,605,cliente_20@gmail.com
1021,2025-11-22,Gallo Oro,Norte,45.0,2759,Sin correo
1022,2025-02-27,Lucchetti Municiones,Norte,15.0,2272,cliente_22@gmail.com
1023,2025-01-26,Granja del Sol Milanesas,Sur,14.0,3503,cliente_23@gmail.com
1024,2025-11-15,Matarazzo Spaghetti,Oeste,46.0,2242,cliente_24@gmail.com
1025,2025-08-13,Granja del Sol Milanesas,Oeste,35.0,2720,cliente_25@gmail.com
1026,2025-11-10,Lucchetti Municiones,CABA,43.0,726,cliente_26@gmail.com
1027,2025-05-14,Gallo Oro,Sur,42.0,1161,cliente_27@gmail.com
1028,2025-05-04,Gallo Oro,Oeste,10.0,2106,cliente_28@gmail.com
1029,2025-10-19,Lucchetti Municiones,CABA,27.0,3076,Sin correo
1030,2025-01-22,Exquisita Bizcochuelo,CABA,19.0,3982,cliente_30@gmail.com
1031,2025-10-06,Gallo Oro,Norte,8.0,1135,cliente_31@gmail.com
