id_pedido,fecha,producto,sucursal,cantidad,precio_unitario,email_cliente
1000,2025-02-02,Preferido Pan Rallado,Norte,39,1560.09,cliente_0@gmail.com
1001,2025-08-24,Matarazzo Spaghetti,Norte,36,1681.87,cliente_1@gmail.com
1002,2025-04-27,Granja del Sol Milanesas,Norte,20,575.86,
1003,2025-05-16,Gallo Oro,Sur,16,1582.19,cliente_3@gmail.com
1004,2025-05-14,Lucchetti Municiones,Norte,34,1296.19,
1005,2025-09-26,Lucchetti Municiones,Sur,43,2112.85,cliente_5@gmail.com
1006,2025-06-06,Matarazzo Spaghetti,Sur,31,1292.07,cliente_6@gmail.com
1007,2025-05-06,Granja del Sol Milanesas,CABA,40,3408.65,
1008,2025-07-13,Gallo Oro,Oeste,50,1396.68,cliente_8@gmail.com
1009,2025-07-31,Gallo Oro,Norte,21,1831.42,cliente_9@gmail.com
1010,2025-02-21,Gallo Oro,CABA,17,$1214.33,
1011,2025-05-06,Gallo Oro,Oeste,45,3024.27,cliente_11@gmail.com
1012,2025-03-29,Preferido Pan Rallado,Sur,34,1360.89,cliente_12@gmail.com
1013,2025-07-14,Gallo Oro,Oeste,10,1653.67,cliente_13@gmail.com
1014,2025-11-07,Granja del Sol Milanesas,CABA,7,2808.45,cliente_14@gmail.com
1015,2025-12-01,Lucchetti Municiones,CABA,32,1147.77,cliente_15@gmail.com
1016,2025-02-07,Matarazzo Spaghetti,Sur,21,3383.77,
1017,2025-01-19,Granja del Sol Milanesas,Sur,19,2395.36,cliente_17@gmail.com
1018,2025-12-30,Preferido Pan Rallado,Oeste,45,3687.89,cliente_18@gmail.com
1019,2025-01-24,Preferido Pan Rallado,CABA,48,808.06,
1020,2025-08-20,Matarazzo Spaghetti,CABA,43,$605.43,cliente_20@gmail.com
1021,2025-11-22,Gallo Oro,Norte,45,2759.39,
1022,2025-02-27,Lucchetti Municiones,Norte,15,2272.78,cliente_22@gmail.com
1023,2025-01-26,Granja del Sol Milanesas,Sur,14,3503.16,cliente_23@gmail.com
1024,2025-11-15,Matarazzo Spaghetti,Oeste,46,2242.67,cliente_24@gmail.com
1025,2025-08-13,Granja del Sol Milanesas,Oeste,35,$2720.97,cliente_25@gmail.com
1026,2025-11-10,Lucchetti Municiones,CABA,43,726.31,cliente_26@gmail.com
1027,2025-05-14,Gallo Oro,Sur,42,1161.66,cliente_27@gmail.com
1028,2025-05-04,Gallo Oro,Oeste,10,2106.43,cliente_28@gmail.com
1029,2025-10-19,Lucchetti Municiones,CABA,27,3076.67,
1030,2025-01-22,Exquisita Bizcochuelo,CABA,19,3982.23,cliente_30@gmail.com
1031,2025-10-06,Gallo Oro,Norte,8,1135.88,cliente_31@gmail.com
1032,2025-05-31,Exquisita Bizcochuelo,Oeste,32,1802.75,cliente_32@gmail.com
1033,,Exquisita Bizcochuelo,Sur,4,2606.35,cliente_33@gmail.com
1034,2025-12-23,Matarazzo Spaghetti,CABA,21,3637.67,cliente_34@gmail.com
1035,2025-09-19,Granja del Sol Milanesas,Sur,39,2152.4,cliente_35@gmail.com
1036,2025-05-06,Matarazzo Spaghetti,CABA,7,$2902.0,cliente_36@gmail.com
1037,2025-12-08,Exquisita Bizcochuelo,Norte,48,744.9,cliente_37@gmail.com
1038,2025-12-16,Granja del Sol Milanesas,Oeste,10,649.86,cliente_38@gmail.com
1039,2025-04-24,Exquisita Bizcochuelo,CABA,16,3809.27,cliente_39@gmail.com
1040,2025-07-17,Lucchetti Municiones,Oeste,23,4106.48,cliente_40@gmail.com
1041,2025-09-12,Gallo Oro,Norte,18,2494.74,cliente_41@gmail.com
1042,2025-10-17,Preferido Pan Rallado,Norte,7,2942.37,
1043,2025-02-01,Lucchetti Municiones,Sur,23,1770.7,cliente_43@gmail.com
1044,2025-08-01,Matarazzo Spaghetti,Sur,3,4339.85,
1045,2025-07-17,Matarazzo Spaghetti,Sur,26,729.27,cliente_45@gmail.com
1046,2025-09-20,Matarazzo Spaghetti,CABA,30,648.11,cliente_46@gmail.com
1047,2025-03-19,Gallo Oro,Sur,29,2679.13,
1048,2025-02-07,Exquisita Bizcochuelo,Norte,24,3374.29,cliente_48@gmail.com
1049,2025-11-16,Lucchetti Municiones,Norte,9,1741.03,cliente_49@gmail.com
1050,2025-07-26,Gallo Oro,CABA,19,1931.19,cliente_50@gmail.com
1051,2025-04-15,Gallo Oro,Sur,30,4130.53,cliente_51@gmail.com
1052,2025-03-19,Preferido Pan Rallado,Sur,32,3695.65,cliente_52@gmail.com
1053,2025-09-21,Lucchetti Municiones,Norte,6,4263.57,cliente_53@gmail.com
1054,2025-07-26,Matarazzo Spaghetti,Norte,43,1514.75,
1055,2025-03-06,Exquisita Bizcochuelo,Sur,48,2494.52,cliente_55@gmail.com
1056,2025-10-23,Matarazzo Spaghetti,Norte,38,$1936.5,cliente_56@gmail.com
1057,2025-01-27,Matarazzo Spaghetti,Norte,13,$1727.81,cliente_57@gmail.com
1058,2025-02-24,Matarazzo Spaghetti,CABA,40,2550.51,cliente_58@gmail.com
1059,2025-10-07,Preferido Pan Rallado,CABA,11,781.09,cliente_59@gmail.com
